State,Cases_Black,Cases_LatinX,Cases_Asian,Deaths_Total,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian
AK,32.0,0.0,179.0,36.0,10.0,0.0,0.0,8.0
AL,11603.0,0.0,267.0,883.0,423.0,416.0,0.0,15.0
AR,3764.0,232.0,156.0,189.0,113.0,64.0,0.0,0.0
AS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ,905.0,4402.0,327.0,1248.0,548.0,40.0,165.0,17.0
CA,8860.0,53570.0,16520.0,7293.0,2415.0,748.0,2114.0,1114.0
CO,4251.0,2441.0,1518.0,2733.0,1908.0,193.0,63.0,88.0
CT,12212.0,15962.0,1521.0,7479.0,5538.0,1173.0,704.0,80.0
DC,8787.0,0.0,292.0,728.0,81.0,572.0,55.0,17.0
DE,2398.0,1650.0,1.0,353.0,214.0,65.0,10.0,1.0
FL,15524.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GA,35423.0,940.0,1316.0,4147.0,1662.0,2148.0,20.0,61.0
GU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HI,14.0,0.0,463.0,0.0,0.0,0.0,0.0,0.0
IA,2620.0,345.0,865.0,0.0,0.0,0.0,0.0,0.0
ID,2.0,0.0,0.0,60.0,57.0,1.0,0.0,0.0
IL,48559.0,36567.0,7108.0,9172.0,3442.0,3311.0,1016.0,340.0
IN,12006.0,3821.0,753.0,3220.0,499.0,159.0,5.0,3.0
KS,1476.0,0.0,256.0,445.0,265.0,136.0,0.0,0.0
KY,2039.0,0.0,193.0,2829.0,1845.0,488.0,0.0,12.0
LA,0.0,0.0,0.0,6996.0,2364.0,4033.0,80.0,56.0
MA,16590.0,25879.0,3539.0,12056.0,3865.0,568.0,614.0,221.0
MD,31676.0,11061.0,1797.0,3513.0,1276.0,1437.0,213.0,120.0
ME,41.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0
MI,63981.0,3990.0,2869.0,15582.0,6677.0,6270.0,120.0,120.0
MN,2067.0,999.0,690.0,1066.0,768.0,45.0,21.0,7.0
MO,10426.0,0.0,0.0,1229.0,477.0,369.0,0.0,0.0
MP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,14723.0,0.0,0.0,1020.0,383.0,629.0,0.0,0.0
MT,10.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
NC,12221.0,0.0,576.0,1265.0,710.0,433.0,0.0,9.0
ND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NH,212.0,243.0,123.0,60.0,36.0,0.0,3.0,0.0
NJ,0.0,0.0,0.0,23413.0,8645.0,3788.0,2669.0,913.0
NM,295.0,2570.0,164.0,0.0,0.0,0.0,0.0,0.0
NV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY,0.0,0.0,0.0,53285.0,18167.0,10317.0,8401.0,2520.0
OH,16390.0,0.0,1083.0,3360.0,2390.0,505.0,0.0,8.0
OK,562.0,0.0,196.0,579.0,443.0,47.0,0.0,4.0
OR,183.0,1358.0,256.0,0.0,0.0,0.0,0.0,0.0
PA,11854.0,0.0,1225.0,5367.0,1963.0,597.0,0.0,69.0
PR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RI,2739.0,9272.0,0.0,658.0,513.0,40.0,75.0,0.0
SC,9071.0,731.0,0.0,791.0,374.0,310.0,0.0,0.0
SD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,9314.0,0.0,891.0,690.0,415.0,217.0,0.0,16.0
TX,2456.0,4959.0,744.0,2112.0,377.0,125.0,177.0,10.0
UT,245.0,4206.0,330.0,0.0,0.0,0.0,0.0,0.0
VA,10758.0,0.0,0.0,961.0,504.0,251.0,0.0,0.0
VI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VT,45.0,51.0,30.0,133.0,118.0,0.0,0.0,6.0
WA,2889.0,11893.0,4201.0,3951.0,2565.0,99.0,245.0,349.0
WI,6927.0,0.0,801.0,1372.0,816.0,489.0,0.0,28.0
WV,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WY,11.0,159.0,12.0,0.0,0.0,0.0,0.0,0.0
