State,Cases_Black,Cases_LatinX,Cases_Asian,Deaths_Total,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian
AK,1343.0,0.0,1047.0,265.0,111.0,0.0,0.0,20.0
AL,249845.0,0.0,3547.0,17034.0,8680.0,6729.0,0.0,41.0
AR,103454.0,0.0,6525.0,5522.0,3352.0,1410.0,0.0,78.0
AS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ,45054.0,461555.0,14899.0,40031.0,15541.0,1234.0,11728.0,458.0
CA,152777.0,2110687.0,193346.0,100193.0,28816.0,7842.0,46006.0,11700.0
CO,22693.0,178040.0,9650.0,15988.0,10041.0,1057.0,3628.0,508.0
CT,60394.0,87641.0,6552.0,40058.0,29328.0,5917.0,3504.0,432.0
DC,59261.0,0.0,1779.0,5369.0,568.0,3982.0,693.0,72.0
DE,37580.0,36456.0,1955.0,5351.0,3282.0,1369.0,383.0,9.0
FL,730138.0,1376264.0,0.0,84421.0,39459.0,15986.0,20629.0,0.0
GA,533362.0,266525.0,27115.0,42077.0,19651.0,18311.0,2583.0,727.0
GU,0.0,0.0,1494.0,56.0,0.0,0.0,0.0,0.0
HI,277.0,0.0,6951.0,365.0,0.0,0.0,0.0,0.0
IA,34246.0,0.0,20450.0,8860.0,7160.0,370.0,0.0,220.0
ID,2624.0,0.0,1821.0,2460.0,2300.0,31.0,0.0,18.0
IL,293590.0,533295.0,46358.0,71662.0,31524.0,18892.0,14353.0,3281.0
IN,79453.0,0.0,8645.0,28192.0,17041.0,3680.0,0.0,146.0
KS,23238.0,0.0,9743.0,3613.0,2594.0,612.0,0.0,90.0
KY,29275.0,0.0,4644.0,7425.0,5579.0,968.0,0.0,94.0
LA,436940.0,0.0,55916.0,40371.0,19091.0,18650.0,0.0,264.0
MA,102578.0,223329.0,23328.0,79472.0,59886.0,6557.0,5508.0,2017.0
MD,282835.0,219147.0,16424.0,32708.0,13905.0,13380.0,3743.0,1222.0
ME,8157.0,0.0,957.0,1146.0,1017.0,36.0,0.0,0.0
MI,220388.0,0.0,17194.0,59300.0,31166.0,23186.0,0.0,721.0
MN,120114.0,0.0,34716.0,15802.0,12135.0,1502.0,0.0,680.0
MO,105763.0,0.0,0.0,12319.0,7325.0,3946.0,0.0,0.0
MP,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0
MS,268134.0,20278.0,2149.0,18573.0,8084.0,8975.0,273.0,17.0
MT,291.0,0.0,175.0,739.0,317.0,0.0,0.0,0.0
NC,232819.0,0.0,16924.0,21043.0,11747.0,6243.0,0.0,277.0
ND,3666.0,0.0,849.0,956.0,0.0,0.0,0.0,0.0
NE,16700.0,0.0,12300.0,3256.0,2503.0,232.0,0.0,162.0
NH,3126.0,7363.0,1664.0,3815.0,3521.0,81.0,101.0,36.0
NJ,177489.0,319855.0,52989.0,143072.0,76225.0,25369.0,28273.0,7807.0
NM,3798.0,88819.0,1343.0,6414.0,1300.0,50.0,1023.0,15.0
NV,29342.0,135139.0,25779.0,9630.0,3360.0,793.0,1365.0,864.0
NY,0.0,0.0,0.0,255755.0,78258.0,57578.0,60573.0,15289.0
OH,231113.0,0.0,24853.0,34411.0,26507.0,6494.0,0.0,371.0
OK,30197.0,0.0,17640.0,6011.0,4379.0,367.0,0.0,144.0
OR,7141.0,0.0,5918.0,3499.0,2318.0,83.0,0.0,152.0
PA,152231.0,0.0,16013.0,67018.0,47926.0,14072.0,0.0,1432.0
PR,0.0,0.0,0.0,2969.0,0.0,0.0,0.0,0.0
RI,16720.0,63335.0,0.0,9216.0,6076.0,472.0,827.0,0.0
SC,246411.0,0.0,7366.0,20261.0,9346.0,7190.0,0.0,172.0
SD,9571.0,11466.0,6627.0,1370.0,737.0,16.0,40.0,39.0
TN,227342.0,0.0,10400.0,12509.0,7467.0,3954.0,0.0,138.0
TX,60236.0,155247.0,6564.0,88054.0,27678.0,10855.0,46976.0,1944.0
UT,9922.0,156206.0,9456.0,3258.0,1663.0,58.0,733.0,176.0
VA,181329.0,255860.0,28000.0,21512.0,11630.0,5339.0,2311.0,1133.0
VI,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0
VT,1512.0,0.0,492.0,520.0,490.0,0.0,0.0,18.0
WA,23674.0,175931.0,20067.0,15879.0,10519.0,517.0,2145.0,1226.0
WI,85280.0,0.0,17829.0,9395.0,6746.0,1951.0,0.0,268.0
WV,5731.0,0.0,0.0,1440.0,522.0,27.0,0.0,0.0
WY,298.0,4042.0,186.0,286.0,123.0,3.0,18.0,0.0
