State,Cases_Black,Cases_LatinX,Cases_Asian,Deaths_Total,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian
AK,398.0,0.0,605.0,160.0,96.0,0.0,0.0,18.0
AL,167875.0,0.0,2111.0,11031.0,5434.0,4647.0,0.0,36.0
AR,59300.0,0.0,3858.0,3097.0,1733.0,790.0,0.0,42.0
AS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ,25579.0,270348.0,8645.0,22657.0,8978.0,656.0,5712.0,245.0
CA,88725.0,1135835.0,120392.0,65913.0,19864.0,5665.0,28270.0,8639.0
CO,16270.0,119079.0,7311.0,14556.0,9056.0,962.0,3158.0,478.0
CT,56363.0,81623.0,6201.0,39370.0,28844.0,5830.0,3398.0,428.0
DC,49300.0,0.0,1560.0,5138.0,548.0,3795.0,674.0,72.0
DE,30263.0,31489.0,1678.0,4784.0,2985.0,1222.0,306.0,9.0
FL,389172.0,705328.0,0.0,43324.0,20055.0,8542.0,10778.0,0.0
GA,306634.0,165498.0,14978.0,28349.0,12828.0,13068.0,1571.0,461.0
GU,0.0,0.0,1107.0,45.0,0.0,0.0,0.0,0.0
HI,91.0,0.0,3178.0,198.0,0.0,0.0,0.0,0.0
IA,28021.0,0.0,18428.0,6977.0,5558.0,337.0,0.0,210.0
ID,1516.0,0.0,1020.0,1068.0,988.0,14.0,0.0,18.0
IL,238646.0,447495.0,39497.0,66577.0,28934.0,17961.0,13453.0,3086.0
IN,57306.0,0.0,6824.0,24946.0,15140.0,3342.0,0.0,122.0
KS,14369.0,0.0,7611.0,2696.0,1895.0,562.0,0.0,81.0
KY,16971.0,0.0,4233.0,5806.0,4396.0,809.0,0.0,73.0
LA,115348.0,0.0,14046.0,31601.0,13861.0,15434.0,0.0,208.0
MA,95225.0,197685.0,21268.0,75208.0,56416.0,6162.0,5211.0,1942.0
MD,200343.0,178041.0,13150.0,30083.0,12865.0,12183.0,3370.0,1164.0
ME,7443.0,0.0,792.0,1024.0,905.0,22.0,0.0,0.0
MI,196946.0,0.0,14851.0,56898.0,29521.0,22501.0,0.0,712.0
MN,81733.0,0.0,27118.0,13953.0,10725.0,1276.0,0.0,551.0
MO,69053.0,0.0,0.0,9967.0,5844.0,3409.0,0.0,0.0
MP,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0
MS,164871.0,15193.0,1148.0,11733.0,4824.0,5851.0,194.0,0.0
MT,105.0,0.0,44.0,310.0,147.0,0.0,0.0,0.0
NC,136532.0,0.0,10755.0,14263.0,7967.0,4494.0,0.0,207.0
ND,0.0,0.0,0.0,759.0,0.0,0.0,0.0,0.0
NE,12000.0,0.0,11100.0,2670.0,2042.0,200.0,0.0,151.0
NH,2838.0,5527.0,1428.0,3545.0,2998.0,72.0,96.0,31.0
NJ,162037.0,289389.0,48109.0,139885.0,65081.0,21976.0,24315.0,6642.0
NM,2681.0,51450.0,958.0,5050.0,882.0,36.0,531.0,9.0
NV,14313.0,62008.0,12792.0,5674.0,2408.0,603.0,840.0,715.0
NY,0.0,0.0,0.0,251114.0,77016.0,56837.0,59682.0,15182.0
OH,165045.0,0.0,17845.0,28049.0,21421.0,5384.0,0.0,305.0
OK,15357.0,0.0,13050.0,3992.0,2995.0,268.0,0.0,85.0
OR,4713.0,0.0,3893.0,2257.0,1630.0,56.0,0.0,93.0
PA,117259.0,0.0,12574.0,62409.0,43769.0,13109.0,0.0,1355.0
PR,0.0,0.0,0.0,1580.0,0.0,0.0,0.0,0.0
RI,14691.0,54395.0,0.0,8846.0,5854.0,447.0,751.0,0.0
SC,135585.0,0.0,4109.0,9975.0,4385.0,3864.0,0.0,86.0
SD,8912.0,10245.0,6430.0,997.0,0.0,0.0,0.0,0.0
TN,127049.0,0.0,6806.0,7182.0,4012.0,2533.0,0.0,118.0
TX,29237.0,96984.0,5881.0,34089.0,4632.0,1601.0,4637.0,274.0
UT,7115.0,113528.0,6249.0,2075.0,1070.0,45.0,496.0,105.0
VA,106587.0,214135.0,21148.0,17783.0,9614.0,4111.0,1952.0,1018.0
VI,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0
VT,1275.0,0.0,478.0,504.0,477.0,0.0,0.0,18.0
WA,14775.0,118067.0,14696.0,12901.0,8442.0,422.0,1646.0,1059.0
WI,60664.0,0.0,12860.0,7597.0,5301.0,1765.0,0.0,214.0
WV,3039.0,0.0,0.0,894.0,522.0,27.0,0.0,0.0
WY,178.0,2304.0,86.0,204.0,92.0,0.0,15.0,0.0
