State,Cases_Total,Cases_White,Cases_Black,Cases_LatinX,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Deaths_Total,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown,Month
AK,5429.0,3133.0,143.0,0.0,451.0,604.0,144.0,193.0,118.0,643.0,389.0,4227.0,93.0,53.0,0.0,0.0,16.0,16.0,8.0,0.0,0.0,0.0,0.0,93.0,0.0,48
AL,209084.0,74130.0,84204.0,0.0,915.0,0.0,0.0,0.0,11008.0,38810.0,20534.0,136919.0,6252.0,3039.0,2808.0,0.0,37.0,0.0,0.0,0.0,93.0,275.0,148.0,5376.0,728.0,48
AR,106722.0,49600.0,27545.0,0.0,1041.0,303.0,6323.0,0.0,12306.0,9604.0,23572.0,83150.0,1566.0,870.0,458.0,0.0,9.0,0.0,87.0,0.0,89.0,0.0,101.0,1418.0,47.0,48
AS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48
AZ,341851.0,61085.0,9170.0,86228.0,2863.0,35745.0,0.0,0.0,7941.0,138819.0,86228.0,116804.0,9935.0,4518.0,297.0,1927.0,120.0,1791.0,0.0,0.0,183.0,1099.0,1927.0,6909.0,1099.0,48
CA,1263849.0,158682.0,41319.0,495956.0,68039.0,1701.0,6099.0,6449.0,107054.0,378550.0,495956.0,389343.0,40953.0,13116.0,3798.0,15972.0,5804.0,119.0,185.0,265.0,338.0,1356.0,15972.0,23625.0,1356.0,48
CO,236364.0,81227.0,13448.0,90317.0,6181.0,1279.0,966.0,1880.0,2017.0,38999.0,90317.0,106998.0,12814.0,8006.0,852.0,2653.0,443.0,64.0,44.0,112.0,61.0,544.0,2653.0,9582.0,544.0,48
CT,359894.0,124440.0,46816.0,66276.0,5251.0,0.0,0.0,0.0,1990.0,113850.0,66276.0,124440.0,33463.0,24417.0,4990.0,2850.0,355.0,0.0,0.0,0.0,126.0,501.0,2850.0,24417.0,501.0,48
DC,77895.0,14307.0,37834.0,0.0,1128.0,205.0,213.0,0.0,19537.0,4671.0,21759.0,45387.0,4123.0,445.0,3062.0,518.0,59.0,0.0,0.0,0.0,34.0,5.0,518.0,3600.0,5.0,48
DE,83308.0,24273.0,22347.0,23525.0,1267.0,0.0,0.0,0.0,4107.0,7789.0,23525.0,51994.0,3481.0,2135.0,914.0,220.0,8.0,0.0,0.0,0.0,36.0,168.0,220.0,3093.0,168.0,48
FL,694148.0,167811.0,122185.0,237099.0,0.0,0.0,0.0,0.0,25099.0,141954.0,237099.0,287978.0,23877.0,11730.0,4946.0,5739.0,0.0,0.0,0.0,0.0,765.0,697.0,5739.0,16577.0,1561.0,48
GA,483775.0,122880.0,146121.0,73710.0,7326.0,380.0,406.0,0.0,9803.0,123149.0,73710.0,242028.0,19777.0,8824.0,9461.0,917.0,307.0,24.0,40.0,0.0,66.0,138.0,917.0,18557.0,303.0,48
GU,1618.0,128.0,0.0,0.0,702.0,0.0,689.0,0.0,59.0,40.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,40.0,48
HI,6033.0,1399.0,59.0,0.0,1988.0,0.0,1382.0,54.0,174.0,977.0,0.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,0.0,0.0,0.0,48
IA,194601.0,119099.0,19795.0,0.0,15375.0,1055.0,1055.0,0.0,19202.0,19020.0,51379.0,112618.0,5222.0,4130.0,256.0,0.0,208.0,21.0,49.0,0.0,277.0,260.0,340.0,4230.0,647.0,48
ID,30390.0,15650.0,518.0,0.0,398.0,457.0,110.0,1167.0,3352.0,8708.0,7076.0,13339.0,696.0,662.0,7.0,0.0,14.0,3.0,0.0,0.0,5.0,0.0,43.0,651.0,2.0,48
IL,1065177.0,213765.0,177511.0,344783.0,30779.0,1632.0,2690.0,0.0,39213.0,254804.0,344783.0,465590.0,50718.0,22324.0,14405.0,10177.0,2399.0,71.0,43.0,0.0,363.0,412.0,10177.0,39605.0,936.0,48
IN,322861.0,143542.0,41414.0,0.0,5009.0,0.0,0.0,0.0,58696.0,74251.0,37541.0,108018.0,18018.0,11614.0,2712.0,0.0,84.0,0.0,0.0,0.0,2290.0,1315.0,343.0,9787.0,7888.0,48
KS,92670.0,58753.0,8823.0,0.0,5592.0,622.0,0.0,0.0,2865.0,16015.0,40229.0,37311.0,1963.0,1348.0,482.0,0.0,59.0,14.0,0.0,0.0,19.0,41.0,237.0,1648.0,78.0,48
KY,102365.0,51562.0,10557.0,0.0,3374.0,225.0,216.0,4309.0,0.0,32122.0,11184.0,58267.0,4043.0,3022.0,628.0,0.0,60.0,0.0,0.0,68.0,0.0,265.0,132.0,3477.0,434.0,48
LA,381723.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381723.0,0.0,0.0,24306.0,10563.0,12686.0,0.0,177.0,18.0,16.0,0.0,140.0,718.0,474.0,20657.0,3175.0,48
MA,844277.0,246160.0,78633.0,160145.0,17211.0,0.0,0.0,0.0,42131.0,300405.0,160145.0,384135.0,61136.0,42754.0,4803.0,4157.0,1544.0,0.0,0.0,0.0,3879.0,3968.0,4157.0,52980.0,3968.0,48
MD,493692.0,96759.0,141907.0,132269.0,9552.0,0.0,0.0,0.0,24861.0,88344.0,132269.0,273079.0,23511.0,10058.0,9600.0,2395.0,911.0,0.0,0.0,0.0,259.0,288.0,2395.0,20828.0,288.0,48
ME,22419.0,13425.0,5062.0,0.0,342.0,48.0,7.0,102.0,483.0,2950.0,655.0,17153.0,805.0,618.0,8.0,0.0,0.0,0.0,0.0,0.0,7.0,172.0,0.0,577.0,133.0,48
MI,526393.0,200156.0,155759.0,0.0,11606.0,2065.0,0.0,36518.0,28665.0,90749.0,38904.0,339035.0,47833.0,24620.0,19035.0,0.0,601.0,160.0,0.0,788.0,920.0,1733.0,953.0,39403.0,7406.0,48
MN,246604.0,90725.0,53397.0,0.0,17385.0,2088.0,581.0,4981.0,31785.0,45682.0,54491.0,142279.0,10364.0,7030.0,725.0,0.0,320.0,137.0,11.0,54.0,129.0,1937.0,302.0,7621.0,2410.0,48
MO,133388.0,58089.0,39819.0,0.0,0.0,0.0,0.0,3244.0,9245.0,22955.0,12999.0,87264.0,7159.0,4153.0,2518.0,0.0,0.0,0.0,0.0,59.0,189.0,220.0,167.0,6171.0,808.0,48
MP,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,48
MS,162189.0,43824.0,84518.0,8927.0,523.0,7393.0,0.0,0.0,6995.0,10009.0,8927.0,123169.0,7284.0,3030.0,3706.0,113.0,0.0,373.0,0.0,0.0,36.0,26.0,113.0,6770.0,401.0,48
MT,5208.0,4156.0,20.0,0.0,9.0,670.0,0.0,0.0,68.0,285.0,366.0,4434.0,83.0,52.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,48
NC,366585.0,138537.0,65900.0,0.0,6201.0,2528.0,993.0,0.0,40767.0,111659.0,108643.0,138376.0,9078.0,5171.0,2949.0,0.0,130.0,73.0,26.0,0.0,421.0,308.0,653.0,7853.0,572.0,48
ND,24872.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24872.0,0.0,0.0,593.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593.0,0.0,0.0,0.0,48
NE,135406.0,35330.0,4415.0,0.0,4415.0,630.0,60.0,0.0,6495.0,84061.0,30285.0,18925.0,1788.0,570.0,50.0,0.0,45.0,5.0,0.0,0.0,15.0,1103.0,150.0,455.0,613.0,48
NH,42659.0,25132.0,2158.0,3422.0,1055.0,0.0,0.0,0.0,2078.0,8814.0,3422.0,30423.0,2555.0,1766.0,47.0,72.0,21.0,0.0,0.0,0.0,83.0,576.0,72.0,1917.0,576.0,48
NJ,1336378.0,324036.0,156505.0,277075.0,46502.0,0.0,0.0,0.0,108202.0,424218.0,277075.0,635085.0,100813.0,53393.0,18283.0,20078.0,5561.0,0.0,0.0,0.0,1862.0,2487.0,20078.0,79099.0,2487.0,48
NM,79482.0,9191.0,1631.0,21445.0,490.0,42823.0,0.0,0.0,0.0,3902.0,21445.0,54135.0,3509.0,490.0,20.0,295.0,5.0,1180.0,0.0,0.0,0.0,1519.0,295.0,1695.0,338.0,48
NV,96490.0,20670.0,6521.0,24827.0,6063.0,501.0,0.0,0.0,3144.0,34764.0,24827.0,33755.0,3733.0,1723.0,454.0,582.0,531.0,24.0,0.0,0.0,72.0,374.0,582.0,2732.0,374.0,48
NY,3070945.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3070945.0,0.0,0.0,209858.0,64368.0,47167.0,49852.0,12717.0,0.0,0.0,0.0,14099.0,21655.0,49852.0,138351.0,21655.0,48
OH,340289.0,171075.0,85761.0,0.0,10585.0,387.0,811.0,13312.0,25786.0,32572.0,26750.0,238210.0,20563.0,16071.0,3720.0,0.0,204.0,1.0,1.0,254.0,130.0,168.0,407.0,19884.0,273.0,48
OK,73539.0,44936.0,6110.0,0.0,4286.0,5061.0,0.0,0.0,2987.0,10159.0,14535.0,46792.0,2893.0,2218.0,221.0,0.0,32.0,199.0,0.0,0.0,70.0,153.0,91.0,2528.0,274.0,48
OR,48843.0,20458.0,1716.0,0.0,1757.0,984.0,1153.0,1158.0,13948.0,7669.0,16399.0,24840.0,1438.0,1049.0,48.0,0.0,62.0,24.0,22.0,16.0,107.0,110.0,156.0,1137.0,142.0,48
PA,631588.0,183338.0,79870.0,0.0,9428.0,0.0,0.0,0.0,4284.0,354668.0,48700.0,125100.0,49801.0,34984.0,10244.0,0.0,1143.0,0.0,0.0,0.0,2386.0,1044.0,2806.0,45951.0,1044.0,48
PR,46685.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46685.0,0.0,0.0,1170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1170.0,0.0,0.0,0.0,48
RI,128180.0,33988.0,11796.0,43196.0,0.0,0.0,0.0,2534.0,3480.0,33186.0,43196.0,51798.0,6768.0,4518.0,334.0,576.0,0.0,0.0,0.0,0.0,78.0,1262.0,576.0,4930.0,1262.0,48
SC,167870.0,58707.0,51002.0,0.0,2236.0,0.0,0.0,0.0,12784.0,43550.0,19506.0,90033.0,4908.0,2188.0,2117.0,0.0,42.0,0.0,0.0,0.0,74.0,466.0,120.0,3873.0,901.0,48
SD,47549.0,15490.0,7560.0,7950.0,5280.0,5999.0,0.0,0.0,5270.0,0.0,7950.0,39599.0,605.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,605.0,0.0,0.0,0.0,48
TN,254156.0,108405.0,54864.0,0.0,3877.0,61.0,40.0,0.0,40588.0,46321.0,65629.0,122981.0,3880.0,2182.0,1305.0,0.0,77.0,0.0,1.0,0.0,201.0,114.0,299.0,3377.0,204.0,48
TX,793440.0,38114.0,19338.0,52606.0,4389.0,0.0,0.0,0.0,848.0,678145.0,52606.0,62689.0,16311.0,2066.0,662.0,1320.0,97.0,0.0,0.0,0.0,36.0,12130.0,1320.0,2861.0,12130.0,48
UT,122430.0,42531.0,3740.0,37249.0,2868.0,3646.0,4805.0,0.0,14550.0,14068.0,51721.0,56641.0,1142.0,435.0,25.0,186.0,37.0,38.0,45.0,0.0,59.0,399.0,186.0,557.0,33.0,48
VA,439288.0,113135.0,61734.0,80407.0,7903.0,276.0,0.0,649.0,52610.0,122574.0,148237.0,164975.0,12547.0,6985.0,2663.0,696.0,380.0,6.0,0.0,0.0,774.0,1043.0,1265.0,9884.0,1398.0,48
VI,593.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,48
VT,8950.0,7539.0,697.0,0.0,326.0,15.0,0.0,0.0,114.0,259.0,248.0,8160.0,443.0,419.0,0.0,0.0,16.0,0.0,0.0,0.0,8.0,0.0,0.0,443.0,0.0,48
WA,213486.0,55979.0,9331.0,66115.0,9977.0,2592.0,4355.0,2818.0,3485.0,58834.0,66115.0,88537.0,9786.0,6553.0,298.0,1069.0,847.0,118.0,89.0,124.0,199.0,489.0,1069.0,8228.0,489.0,48
WI,186365.0,99378.0,34381.0,0.0,7181.0,1879.0,0.0,0.0,23350.0,20196.0,60951.0,103497.0,5616.0,3856.0,1364.0,0.0,158.0,75.0,0.0,0.0,64.0,99.0,606.0,4896.0,114.0,48
WV,19084.0,15171.0,1317.0,0.0,0.0,0.0,0.0,0.0,2596.0,0.0,0.0,0.0,697.0,464.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,0.0,0.0,0.0,48
