State,Cases_Black,Cases_LatinX,Cases_Asian,Deaths_Total,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian
AK,86.0,0.0,407.0,70.0,10.0,0.0,0.0,4.0
AL,44074.0,0.0,625.0,4195.0,2115.0,1848.0,0.0,25.0
AR,15531.0,0.0,488.0,904.0,499.0,325.0,0.0,4.0
AS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ,4036.0,23971.0,1355.0,5882.0,2570.0,181.0,905.0,70.0
CA,28588.0,260561.0,51270.0,28472.0,9281.0,2760.0,10043.0,4187.0
CO,12360.0,70021.0,5333.0,10479.0,6784.0,710.0,1928.0,401.0
CT,41172.0,56943.0,4778.0,29682.0,21498.0,4385.0,2575.0,289.0
DC,29461.0,0.0,822.0,3334.0,360.0,2558.0,337.0,55.0
DE,18370.0,17984.0,841.0,2477.0,1484.0,625.0,159.0,9.0
FL,76897.0,123775.0,0.0,16163.0,8071.0,3414.0,3511.0,0.0
GA,115979.0,31696.0,4825.0,14549.0,6344.0,7119.0,459.0,243.0
GU,0.0,0.0,484.0,35.0,0.0,0.0,0.0,0.0
HI,48.0,0.0,1682.0,119.0,0.0,0.0,0.0,0.0
IA,15917.0,0.0,11656.0,3011.0,2328.0,156.0,0.0,98.0
ID,269.0,0.0,327.0,659.0,623.0,9.0,0.0,18.0
IL,146727.0,241340.0,24992.0,36821.0,15692.0,11509.0,6565.0,1700.0
IN,34597.0,0.0,3577.0,14242.0,9226.0,2224.0,0.0,63.0
KS,7171.0,0.0,4029.0,1547.0,988.0,467.0,0.0,22.0
KY,7197.0,0.0,1771.0,3096.0,2154.0,508.0,0.0,50.0
LA,0.0,0.0,0.0,21498.0,8706.0,11701.0,0.0,165.0
MA,63939.0,124196.0,13484.0,50346.0,20165.0,2580.0,3036.0,881.0
MD,108420.0,79964.0,6841.0,16952.0,7103.0,6968.0,1378.0,617.0
ME,1637.0,0.0,211.0,521.0,0.0,0.0,0.0,0.0
MI,143254.0,0.0,9119.0,43643.0,21732.0,17599.0,0.0,431.0
MN,29267.0,0.0,6456.0,6460.0,4144.0,358.0,0.0,131.0
MO,31126.0,0.0,0.0,5131.0,2557.0,1770.0,0.0,0.0
MP,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0
MS,52841.0,5130.0,246.0,4692.0,1949.0,2408.0,57.0,0.0
MT,18.0,0.0,9.0,112.0,96.0,0.0,0.0,0.0
NC,41159.0,0.0,3395.0,5828.0,3279.0,1932.0,0.0,67.0
ND,0.0,0.0,0.0,337.0,0.0,0.0,0.0,0.0
NE,0.0,0.0,0.0,949.0,0.0,0.0,0.0,0.0
NH,1094.0,1577.0,596.0,1442.0,590.0,0.0,32.0,0.0
NJ,85038.0,145972.0,24363.0,90650.0,44591.0,15731.0,15736.0,4561.0
NM,1441.0,11657.0,415.0,1981.0,0.0,0.0,0.0,0.0
NV,2427.0,7826.0,2362.0,2582.0,716.0,200.0,238.0,239.0
NY,0.0,0.0,0.0,200560.0,57189.0,39236.0,41696.0,10312.0
OH,63397.0,0.0,5143.0,14661.0,11433.0,2463.0,0.0,105.0
OK,3881.0,0.0,1165.0,2595.0,1990.0,213.0,0.0,18.0
OR,726.0,0.0,1064.0,1078.0,770.0,44.0,0.0,54.0
PA,64401.0,0.0,7107.0,38329.0,21004.0,5909.0,0.0,699.0
PR,0.0,0.0,0.0,866.0,0.0,0.0,0.0,0.0
RI,11248.0,38071.0,0.0,4399.0,3152.0,222.0,449.0,0.0
SC,31239.0,0.0,893.0,3460.0,1638.0,1368.0,0.0,26.0
SD,7015.0,6138.0,4108.0,329.0,0.0,0.0,0.0,0.0
TN,33366.0,0.0,3239.0,2625.0,1544.0,862.0,0.0,59.0
TX,18981.0,48194.0,4306.0,11569.0,1568.0,581.0,1026.0,55.0
UT,1995.0,0.0,1574.0,627.0,0.0,0.0,0.0,0.0
VA,42566.0,0.0,0.0,9049.0,4906.0,1928.0,0.0,0.0
VI,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0
VT,228.0,0.0,95.0,481.0,438.0,0.0,0.0,18.0
WA,7784.0,39830.0,9161.0,8922.0,5846.0,264.0,714.0,771.0
WI,23019.0,0.0,4189.0,4097.0,2706.0,1147.0,0.0,90.0
WV,999.0,0.0,0.0,466.0,291.0,17.0,0.0,0.0
WY,64.0,502.0,41.0,75.0,0.0,0.0,0.0,0.0
