State,Cases_Total,Cases_White,Cases_Black,Cases_LatinX,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Deaths_Total,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown,Month
AK,54391.0,15986.0,1794.0,0.0,2129.0,11685.0,1933.0,2784.0,2708.0,15372.0,3394.0,24808.0,251.0,93.0,9.0,0.0,24.0,81.0,21.0,8.0,3.0,12.0,3.0,211.0,37.0,33
AL,595449.0,181149.0,116383.0,0.0,1924.0,0.0,0.0,0.0,52842.0,243151.0,25373.0,240597.0,9063.0,4750.0,3155.0,0.0,27.0,0.0,0.0,0.0,233.0,898.0,233.0,7138.0,1692.0,33
AR,350735.0,211156.0,69409.0,0.0,3506.0,941.0,7356.0,2581.0,19982.0,35804.0,53287.0,297445.0,6069.0,4058.0,1061.0,0.0,59.0,13.0,141.0,26.0,253.0,458.0,289.0,5780.0,0.0,33
AS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33
AZ,757370.0,201540.0,23249.0,230733.0,8393.0,44756.0,0.0,0.0,26496.0,222203.0,230733.0,304434.0,18204.0,7730.0,560.0,5425.0,205.0,1945.0,0.0,0.0,302.0,2037.0,5425.0,10742.0,2037.0,33
CA,2823501.0,355974.0,84264.0,1220251.0,111527.0,5726.0,10727.0,23217.0,193005.0,818810.0,1220251.0,784440.0,53358.0,15929.0,3944.0,25663.0,6220.0,174.0,250.0,430.0,233.0,515.0,25663.0,27180.0,515.0,33
CO,358531.0,139353.0,12327.0,126016.0,5938.0,1900.0,1276.0,5561.0,3347.0,62811.0,126016.0,169702.0,6646.0,4137.0,383.0,1537.0,185.0,42.0,16.0,154.0,37.0,143.0,1537.0,4954.0,155.0,33
CT,224705.0,74782.0,25609.0,43596.0,3062.0,259.0,0.0,2029.0,3898.0,71470.0,43596.0,109639.0,13932.0,10174.0,2035.0,1248.0,152.0,6.0,0.0,117.0,67.0,133.0,1248.0,12551.0,133.0,33
DC,52971.0,12158.0,26006.0,0.0,868.0,119.0,141.0,0.0,13272.0,407.0,13206.0,35194.0,1947.0,201.0,1456.0,246.0,24.0,0.0,0.0,0.0,0.0,20.0,246.0,1681.0,20.0,33
DE,77263.0,31068.0,19846.0,16446.0,1102.0,0.0,0.0,0.0,3558.0,5243.0,16446.0,55574.0,2140.0,1396.0,550.0,150.0,5.0,0.0,0.0,0.0,36.0,25.0,150.0,1987.0,25.0,33
FL,2472432.0,697204.0,346426.0,720701.0,0.0,0.0,0.0,0.0,164129.0,543972.0,720701.0,1078454.0,51461.0,25255.0,9149.0,12986.0,0.0,0.0,0.0,0.0,2073.0,1998.0,12986.0,34107.0,4368.0,33
GA,1101512.0,392075.0,302221.0,140646.0,19304.0,568.0,1026.0,0.0,27685.0,217987.0,140646.0,635154.0,25151.0,12428.0,9653.0,1438.0,427.0,26.0,18.0,0.0,52.0,1109.0,1438.0,22552.0,1161.0,33
GU,14826.0,914.0,0.0,0.0,3606.0,0.0,7858.0,0.0,899.0,1549.0,0.0,0.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0,0.0,0.0,251.0,33
