State,Cases_Total,Cases_White,Cases_Black,Cases_LatinX,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Deaths_Total,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown,Month
AK,94985.0,31587.0,3871.0,0.0,4210.0,19993.0,4163.0,4118.0,3619.0,23424.0,7557.0,51691.0,515.0,195.0,20.0,0.0,47.0,182.0,56.0,1.0,1.0,13.0,8.0,452.0,55.0,80
AL,1373121.0,422044.0,286321.0,0.0,4654.0,0.0,0.0,0.0,108615.0,551473.0,63805.0,576393.0,21899.0,11373.0,7937.0,0.0,59.0,0.0,0.0,0.0,528.0,2001.0,571.0,17442.0,3883.0,80
AR,779389.0,457102.0,159623.0,0.0,8611.0,2116.0,19295.0,5876.0,47816.0,78950.0,129302.0,650079.0,13252.0,8363.0,2534.0,0.0,140.0,21.0,359.0,60.0,597.0,1178.0,723.0,12529.0,5.0,80
AS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80
AZ,1840891.0,474254.0,56759.0,565698.0,19969.0,107922.0,0.0,0.0,61840.0,554449.0,565698.0,720744.0,46430.0,19612.0,1447.0,14044.0,530.0,4907.0,0.0,0.0,781.0,5109.0,14044.0,27277.0,5109.0,80
CA,6908448.0,844473.0,206152.0,2965551.0,270056.0,13599.0,26076.0,53924.0,476530.0,2052087.0,2965551.0,1890810.0,134341.0,39779.0,9994.0,64361.0,15551.0,417.0,627.0,990.0,730.0,1892.0,64361.0,68088.0,1892.0,80
CO,676684.0,259629.0,25993.0,247847.0,12410.0,3847.0,2548.0,9585.0,5602.0,109166.0,247847.0,319614.0,16259.0,10144.0,997.0,3776.0,494.0,101.0,45.0,286.0,81.0,300.0,3776.0,12147.0,327.0,80
CT,502440.0,171812.0,62108.0,97439.0,7239.0,525.0,0.0,4031.0,6771.0,152515.0,97439.0,252486.0,36392.0,26600.0,5350.0,3232.0,394.0,16.0,0.0,290.0,170.0,340.0,3232.0,32820.0,340.0,80
DC,129940.0,28994.0,64954.0,0.0,2127.0,305.0,354.0,0.0,32414.0,792.0,32463.0,86381.0,5107.0,536.0,3811.0,648.0,64.0,0.0,0.0,0.0,0.0,48.0,648.0,4411.0,48.0,80
DE,182209.0,69842.0,47777.0,40155.0,2486.0,0.0,0.0,0.0,8417.0,13532.0,40155.0,128522.0,5312.0,3443.0,1371.0,392.0,8.0,0.0,0.0,0.0,96.0,7.0,392.0,4918.0,7.0,80
FL,6001905.0,1613025.0,867731.0,1729810.0,0.0,0.0,0.0,0.0,398722.0,1392617.0,1729810.0,2533800.0,127257.0,61476.0,22882.0,32158.0,0.0,0.0,0.0,0.0,5104.0,5637.0,32158.0,83491.0,11608.0,80
GA,2704021.0,895850.0,719716.0,347301.0,44924.0,1459.0,2507.0,0.0,72451.0,619813.0,347301.0,1468981.0,60304.0,30339.0,24286.0,3604.0,1080.0,68.0,51.0,0.0,150.0,726.0,3604.0,55953.0,747.0,80
GU,28311.0,2173.0,0.0,0.0,6667.0,0.0,13336.0,0.0,1838.0,4297.0,0.0,0.0,513.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,513.0,0.0,0.0,513.0,80
HI,110765.0,9650.0,1516.0,0.0,23100.0,0.0,27732.0,0.0,2822.0,45945.0,0.0,0.0,1486.0,130.0,40.0,0.0,794.0,0.0,380.0,0.0,40.0,102.0,0.0,0.0,0.0,80
IA,853359.0,613315.0,42120.0,0.0,25269.0,7104.0,6592.0,0.0,8421.0,150538.0,100603.0,593443.0,12190.0,9864.0,437.0,0.0,225.0,36.0,101.0,0.0,54.0,1446.0,606.0,9992.0,1584.0,80
ID,417546.0,222383.0,3408.0,0.0,3000.0,6355.0,1079.0,0.0,40694.0,140627.0,66398.0,161527.0,4251.0,3998.0,33.0,0.0,27.0,69.0,0.0,0.0,71.0,63.0,529.0,3674.0,48.0,80
IL,2746707.0,846897.0,348410.0,666950.0,58846.0,3387.0,4394.0,0.0,96299.0,722998.0,666950.0,1356759.0,75460.0,36047.0,18208.0,14363.0,3121.0,98.0,77.0,0.0,390.0,3156.0,14363.0,57941.0,1106.0,80
IN,1159320.0,653462.0,102637.0,0.0,13593.0,0.0,0.0,0.0,159645.0,229983.0,95301.0,449099.0,31343.0,19570.0,3683.0,0.0,161.0,0.0,0.0,0.0,3977.0,3952.0,729.0,14753.0,15861.0,80
