State,Cases_Black,Cases_LatinX,Cases_Asian,Deaths_Total,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian
AK,2431.0,0.0,1756.0,413.0,170.0,6.0,0.0,29.0
AL,291625.0,0.0,4537.0,21487.0,10984.0,8043.0,0.0,69.0
AR,140797.0,0.0,7948.0,9888.0,5916.0,2052.0,0.0,117.0
AS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ,57330.0,577217.0,18567.0,48504.0,17126.0,1517.0,14757.0,559.0
CA,201316.0,2864671.0,258916.0,131227.0,38188.0,9924.0,62266.0,15068.0
CO,25532.0,214165.0,11198.0,17134.0,10719.0,1088.0,3964.0,536.0
CT,65160.0,96873.0,7247.0,40374.0,29508.0,5949.0,3589.0,435.0
DC,67899.0,0.0,2089.0,5559.0,595.0,4140.0,698.0,72.0
DE,45590.0,40501.0,2273.0,5577.0,3558.0,1436.0,427.0,9.0
FL,887311.0,1731061.0,0.0,117714.0,55490.0,21496.0,29330.0,0.0
GA,690835.0,343608.0,40865.0,58054.0,28227.0,24186.0,3583.0,1058.0
GU,0.0,0.0,4398.0,268.0,0.0,0.0,0.0,0.0
HI,945.0,0.0,16295.0,963.0,49.0,25.0,0.0,282.0
IA,42126.0,0.0,22771.0,11166.0,9092.0,410.0,0.0,226.0
ID,3136.0,0.0,2401.0,3833.0,3629.0,36.0,0.0,24.0
IL,339108.0,633437.0,55206.0,77454.0,35315.0,19713.0,15198.0,3388.0
IN,96792.0,0.0,11074.0,31244.0,19192.0,3956.0,0.0,156.0
KS,33247.0,0.0,12222.0,5058.0,3599.0,727.0,0.0,118.0
KY,42887.0,0.0,4644.0,9683.0,7380.0,1141.0,0.0,101.0
LA,521104.0,0.0,69850.0,47515.0,23629.0,21226.0,0.0,306.0
MA,108216.0,256177.0,24964.0,83303.0,62879.0,6786.0,5780.0,2081.0
MD,338033.0,233657.0,20143.0,34739.0,14787.0,14202.0,3985.0,1292.0
ME,8625.0,0.0,1017.0,1235.0,1079.0,36.0,0.0,0.0
MI,239578.0,0.0,21223.0,62437.0,33696.0,23931.0,0.0,789.0
MN,144630.0,87561.0,42781.0,17871.0,13465.0,1678.0,567.0,808.0
MO,111759.0,0.0,1047.0,16240.0,8885.0,4393.0,0.0,24.0
MP,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0
MS,326655.0,24230.0,2864.0,24754.0,11260.0,11491.0,333.0,53.0
MT,528.0,0.0,296.0,1299.0,608.0,0.0,0.0,0.0
NC,313054.0,0.0,25630.0,28360.0,16137.0,8237.0,0.0,355.0
ND,10455.0,0.0,2357.0,1295.0,0.0,0.0,0.0,0.0
NE,19900.0,0.0,13700.0,3949.0,3076.0,281.0,0.0,162.0
NH,3337.0,8675.0,1898.0,3926.0,3597.0,81.0,108.0,36.0
NJ,187570.0,343725.0,58210.0,144427.0,77042.0,25579.0,28542.0,7728.0
NM,8573.0,108556.0,1557.0,7514.0,1594.0,66.0,1484.0,20.0
NV,41418.0,217629.0,37271.0,13355.0,4451.0,1045.0,2017.0,1062.0
NY,0.0,0.0,0.0,257920.0,79062.0,57994.0,61063.0,15433.0
OH,262832.0,0.0,31775.0,40576.0,31385.0,7435.0,0.0,411.0
OK,46612.0,0.0,22983.0,8319.0,6001.0,519.0,0.0,191.0
OR,9168.0,0.0,7861.0,4643.0,3030.0,108.0,0.0,169.0
PA,176649.0,0.0,21879.0,71308.0,51230.0,14752.0,0.0,1488.0
PR,0.0,0.0,0.0,5059.0,0.0,0.0,0.0,0.0
RI,19574.0,72137.0,2820.0,9731.0,6390.0,490.0,911.0,100.0
SC,320956.0,0.0,11334.0,27984.0,13374.0,9813.0,0.0,147.0
SD,11001.0,13282.0,6991.0,1736.0,1103.0,18.0,51.0,45.0
TN,297193.0,0.0,14456.0,19146.0,12505.0,5384.0,0.0,180.0
TX,75087.0,182604.0,7001.0,129957.0,39069.0,14736.0,72385.0,2486.0
UT,11886.0,187674.0,12772.0,3925.0,2027.0,63.0,880.0,206.0
VA,244140.0,295974.0,36810.0,26095.0,14058.0,6760.0,2623.0,1254.0
VI,0.0,0.0,0.0,165.0,0.0,0.0,0.0,0.0
VT,1566.0,0.0,581.0,522.0,495.0,0.0,0.0,18.0
WA,29867.0,211238.0,24674.0,18221.0,12159.0,598.0,2558.0,1349.0
WI,98612.0,0.0,22791.0,11118.0,8201.0,2083.0,0.0,299.0
WV,7547.0,0.0,0.0,2597.0,1176.0,43.0,0.0,0.0
WY,400.0,5460.0,274.0,412.0,179.0,9.0,18.0,0.0
