State,BlackTotal,BlackPerc,State_Code,Cases_Total,Cases_Black,Covid_BlackPerc,Deaths_Total,Deaths_Black,Death_BlackPerc
District of Columbia,331477.0,0.4599,DC,3002.8333333333335,1464.5,0.4836933340315109,121.33333333333333,95.33333333333333,0.7745457277512481
Mississippi,1147920.0,0.384,MS,4631.333333333333,2453.8333333333335,0.5331757805336886,170.0,104.83333333333333,0.6263383142994158
Louisiana,1553060.0,0.3343,LA,,,,1399.2,806.6,0.5773979689016915
Georgia,3378260.0,0.3147,GA,20827.5,5903.833333333333,0.27551119886604836,829.4,429.6,0.5175817585509577
Maryland,1899670.0,0.3123,MD,14219.666666666666,5279.333333333333,0.37341677920923777,585.5,239.5,0.4135140884572124
Alabama,1334890.0,0.2719,AL,5162.5,1933.8333333333333,0.37327192922998736,176.6,83.2,0.4821620252174498
South Carolina,1401780.0,0.2691,SC,3984.8333333333335,1511.8333333333333,0.3831583866728147,131.83333333333334,51.666666666666664,0.41307796630810206
Delaware,226875.0,0.2308,DE,4344.5,1199.0,0.27586028957939146,70.6,32.5,0.24583333333333335
North Carolina,2331120.0,0.2197,NC,7022.333333333333,2036.8333333333333,0.2897483751449395,210.83333333333334,72.16666666666667,0.3462257006416532
Virginia,1766960.0,0.2048,VA,9710.666666666666,1793.0,0.18214011283084564,480.5,125.5,0.2611846456418825
New York,3368300.0,0.1733,NY,,,,8880.833333333334,1719.5,0.2033899868435911
Puerto Rico,523962.0,0.1728,PR,,,,,,
Tennessee,1188330.0,0.1723,TN,7733.666666666667,1552.3333333333333,0.19910198850696792,172.5,54.25,0.31553544613436113
Florida,3592350.0,0.1633,FL,30263.0,5174.666666666667,0.17064231214322492,,,
Arkansas,488364.0,0.1607,AR,2166.1666666666665,627.3333333333334,0.285259010214089,47.25,16.0,0.33945533885001195
Illinois,1959970.0,0.1548,IL,34194.666666666664,8093.166666666667,0.24162930367658697,1528.6666666666667,551.8333333333334,0.37256374588079794
Michigan,1516350.0,0.151,MI,32890.333333333336,10663.5,0.3247997630900983,2597.0,1045.0,0.4018825912089745
New Jersey,1313610.0,0.147,NJ,,,,3902.1666666666665,631.3333333333334,0.18883993117321893
Ohio,1639040.0,0.1395,OH,12230.0,2731.6666666666665,0.2185883949833255,560.0,84.16666666666667,0.14590921246579064
Missouri,778915.0,0.1263,MO,5878.166666666667,1737.6666666666667,0.2933693374133884,204.83333333333334,61.5,0.2974027360797623
