State,BlackTotal,BlackPerc,State_Code,Cases_Total,Cases_Black,Covid_BlackPerc,Deaths_Total,Deaths_Black,Death_BlackPerc
District of Columbia,331477.0,0.4599,DC,13141.555555555555,6584.555555555556,0.500760429700041,596.5555555555555,442.44444444444446,0.7416410198646862
Mississippi,1147920.0,0.384,MS,71598.22222222222,29792.666666666668,0.4167770151301651,2063.6666666666665,997.2222222222222,0.48449133095827335
Louisiana,1553060.0,0.3343,LA,136187.22222222222,48548.88888888889,0.3557942758779596,4485.666666666667,2072.222222222222,0.4624437257324131
Georgia,3378260.0,0.3147,GA,233573.66666666666,59262.444444444445,0.25355512495760346,4675.222222222223,2034.5555555555557,0.4359964703072996
Maryland,1899670.0,0.3123,MD,99314.11111111111,31426.11111111111,0.3161935399086598,3634.222222222222,1486.6666666666667,0.40906695883601785
Alabama,1334890.0,0.2719,AL,107964.22222222222,27760.555555555555,0.2578267181404575,1892.6666666666667,747.6666666666666,0.39543502150424664
South Carolina,1401780.0,0.2691,SC,105553.55555555556,27379.0,0.2589194696326319,2251.222222222222,798.8888888888889,0.3552016684871853
Delaware,226875.0,0.2308,DE,16211.444444444445,4175.555555555556,0.25742022271616954,594.5555555555555,152.11111111111111,0.25583009068165896
North Carolina,2331120.0,0.2197,NC,144766.11111111112,25868.777777777777,0.17847501123882004,2338.1111111111113,693.6666666666666,0.2969730050585511
Virginia,1766960.0,0.2048,VA,105923.88888888889,20147.666666666668,0.18969615066582535,2390.222222222222,593.2222222222222,0.24806121284024632
New York,3368300.0,0.1733,NY,425108.1111111111,,,28417.222222222223,6397.555555555556,0.22512946344567045
Puerto Rico,523962.0,0.1728,PR,25742.777777777777,,,329.8888888888889,,
Tennessee,1188330.0,0.1723,TN,132082.55555555556,25260.222222222223,0.19111504377056976,1389.888888888889,439.3333333333333,0.31815001340170745
Florida,3592350.0,0.1633,FL,562435.5555555555,81126.44444444444,0.14405542758060066,9380.111111111111,1776.2222222222222,0.18956256530241175
Arkansas,488364.0,0.1607,AR,52548.22222222222,11494.888888888889,0.21831240911944505,613.5555555555555,156.66666666666666,0.2565855310375018
Illinois,1959970.0,0.1548,IL,207842.11111111112,32621.11111111111,0.1573295455337937,7962.444444444444,2099.1111111111113,0.2636695106858932
Michigan,1516350.0,0.151,MI,101803.66666666667,24487.555555555555,0.24117662112810928,6588.888888888889,2576.222222222222,0.3910319752973963
New Jersey,1313610.0,0.147,NJ,187075.66666666666,19721.0,0.10541177599511216,15896.888888888889,2818.777777777778,0.17731613837514842
Ohio,1639040.0,0.1395,OH,107583.11111111111,25679.222222222223,0.2392759394371072,3823.4444444444443,721.5555555555555,0.18874252271507014
Missouri,778915.0,0.1263,MO,67062.22222222222,11751.444444444445,0.17888817475849217,1368.7777777777778,438.44444444444446,0.3207581106265124
Pennsylvania,1607610.0,0.1254,PA,123664.77777777778,16914.555555555555,0.13678189863491116,7446.444444444444,1563.5555555555557,0.20998433456833523
Texas,3646880.0,0.1237,TX,528491.1111111111,6692.888888888889,0.012626828824382489,9783.777777777777,1206.111111111111,0.12426204457974638
Connecticut,437087.0,0.1227,CT,51056.22222222222,6710.444444444444,0.13142074293461023,4450.888888888889,657.4444444444445,0.14771113283790024
Indiana,708540.0,0.105,IN,80004.11111111111,8828.111111111111,0.1106032441270495,3132.4444444444443,408.8888888888889,0.13054727418322498
Nevada,309359.0,0.0985,NV,60313.22222222222,3260.222222222222,0.053719619518779765,1070.0,88.11111111111111,0.08282553886252546
Kentucky,413151.0,0.0918,KY,39209.444444444445,3252.777777777778,0.08271757785029639,825.0,107.55555555555556,0.1306724531771767
Oklahoma,358388.0,0.0906,OK,48004.555555555555,3355.222222222222,0.06975774559106113,667.8888888888889,40.77777777777778,0.06115073901406468
Massachusetts,627601.0,0.09,MA,123277.11111111111,11397.555555555555,0.09246900777420222,8830.222222222223,728.5555555555555,0.08250533572213992
Rhode Island,86052.0,0.0815,RI,20406.555555555555,1857.7777777777778,0.0910685915351219,1024.0,52.44444444444444,0.0512177470258029
Kansas,214553.0,0.0737,KS,34258.88888888889,2582.0,0.07524918927542197,401.44444444444446,68.0,0.1699212905905539
Wisconsin,431044.0,0.0737,WI,69618.44444444444,9475.555555555555,0.13669152026466533,1043.888888888889,216.77777777777777,0.2080463105414087
Minnesota,410895.0,0.0721,MN,64967.333333333336,13346.0,0.20564271678081583,1755.7777777777778,166.88888888888889,0.09503197971869445
California,2753570.0,0.0689,CA,608574.4444444445,16975.222222222223,0.027867815196722174,11132.555555555555,871.3333333333334,0.07847258649527215
Nebraska,113007.0,0.0579,NE,30215.666666666668,1855.5555555555557,0.0613761979124345,361.77777777777777,25.77777777777778,0.0712582949486245
Arizona,390181.0,0.0529,AZ,191705.88888888888,5006.0,0.026021239817927425,4447.888888888889,137.11111111111111,0.030829687771618826
Washington,397656.0,0.051,WA,66560.22222222222,2630.4444444444443,0.039389277216487835,1764.3333333333333,57.44444444444444,0.032559935021184136
