State,BlackTotal,BlackPerc,State_Code,Cases_Total,Cases_Black,Covid_BlackPerc,Deaths_Total,Deaths_Black,Death_BlackPerc
District of Columbia,331477.0,0.4599,DC,17657.0,8668.666666666666,0.4909820610890195,649.0,485.3333333333333,0.7478237941349706
Mississippi,1147920.0,0.384,MS,122773.33333333333,45411.333333333336,0.36991040880411835,3388.0,1529.3333333333333,0.4514035971740579
Louisiana,1553060.0,0.3343,LA,190288.33333333334,65330.0,0.34334201272479414,5979.0,2578.3333333333335,0.4312445381596775
Georgia,3378260.0,0.3147,GA,367170.6666666667,100740.33333333333,0.2743629337815134,8383.666666666666,3217.6666666666665,0.3841679675043916
Maryland,1899670.0,0.3123,MD,149635.66666666666,45954.333333333336,0.30712758133047036,4178.666666666667,1682.3333333333333,0.40260467896592694
Alabama,1334890.0,0.2719,AL,198483.0,38794.333333333336,0.1954885421337299,3021.0,1051.6666666666667,0.3481788679768276
South Carolina,1401780.0,0.2691,SC,181527.0,45014.0,0.24799624034298198,3985.6666666666665,1328.0,0.33320687957124545
Delaware,226875.0,0.2308,DE,25754.333333333332,6615.333333333333,0.2568907718138617,713.3333333333334,183.33333333333334,0.25701212008470126
North Carolina,2331120.0,0.2197,NC,284277.6666666667,52008.0,0.18294748623666776,4499.0,1255.3333333333333,0.2790474895498734
Virginia,1766960.0,0.2048,VA,186801.0,36194.0,0.19377493668607595,3679.6666666666665,978.3333333333334,0.2658793878018176
New York,3368300.0,0.1733,NY,518195.3333333333,,,33877.0,7919.0,0.23375786830379255
Puerto Rico,523962.0,0.1728,PR,57927.0,,,851.3333333333334,,
Tennessee,1188330.0,0.1723,TN,271026.3333333333,44087.333333333336,0.1627221323457163,3475.3333333333335,813.0,0.234017343367268
Florida,3592350.0,0.1633,FL,824144.0,115475.33333333333,0.14013420729020098,17153.666666666668,3049.6666666666665,0.17778747963729802
Arkansas,488364.0,0.1607,AR,116911.66666666667,23136.333333333332,0.19799624009439207,2023.0,353.6666666666667,0.17487999619734962
Illinois,1959970.0,0.1548,IL,451780.3333333333,51533.666666666664,0.11422925614606945,10276.333333333334,2349.3333333333335,0.22866905072985647
Michigan,1516350.0,0.151,MI,212856.33333333334,32310.0,0.15212048815252838,7808.666666666667,2749.6666666666665,0.3521828284019115
