State,BlackTotal,BlackPerc,State_Code,Cases_Total,Cases_Black,Covid_BlackPerc,Deaths_Total,Deaths_Black,Death_BlackPerc
District of Columbia,331477.0,0.4599,DC,16242.5,8119.25,0.49995989066864355,638.375,476.375,0.746218017144686
Mississippi,1147920.0,0.384,MS,108664.0,41316.875,0.38048224963764354,3157.0,1446.125,0.45813751917568074
Louisiana,1553060.0,0.3343,LA,177817.25,62490.75,0.3515262726740419,5724.75,2502.625,0.4371850794904842
Georgia,3378260.0,0.3147,GA,338002.625,89964.5,0.26605937905821053,7538.0,3035.75,0.4027983499859391
Maryland,1899670.0,0.3123,MD,134478.25,41981.0,0.3122495328816426,4032.25,1642.125,0.40725997378190776
Alabama,1334890.0,0.2719,AL,171640.125,35790.125,0.20882484156576886,2737.375,992.125,0.3626948055453571
South Carolina,1401780.0,0.2691,SC,162127.25,41345.75,0.25513842819248184,3642.0,1252.75,0.3441136905797433
Delaware,226875.0,0.2308,DE,22776.125,5972.125,0.2622799981514081,664.0,171.375,0.2580406830898825
North Carolina,2331120.0,0.2197,NC,241399.75,44124.875,0.1828050570742155,3915.125,1122.625,0.2868218687389621
Virginia,1766960.0,0.2048,VA,163865.25,32464.5,0.19818948831906186,3432.25,909.375,0.2648724349104718
New York,3368300.0,0.1733,NY,481750.5,,,30686.5,7006.125,0.2279181935112406
Puerto Rico,523962.0,0.1728,PR,56727.875,,,752.125,,
Tennessee,1188330.0,0.1723,TN,226291.5,38990.25,0.17266605779947874,2883.125,746.5,0.2594809052263198
Florida,3592350.0,0.1633,FL,750238.125,108466.375,0.1446200141317771,15907.125,2860.25,0.1798350498906538
Arkansas,488364.0,0.1607,AR,97423.625,19952.875,0.20499449274448198,1656.5,316.75,0.19165995426806945
Illinois,1959970.0,0.1548,IL,343338.375,43551.25,0.1271952003356089,9432.5,2276.0,0.24142879143071
Michigan,1516350.0,0.151,MI,159852.375,28945.375,0.18199201449224603,7330.375,2718.125,0.37093641520717396
New Jersey,1313610.0,0.147,NJ,219050.5,22300.625,0.10184763185003161,16214.75,2867.625,0.17685496825722885
Ohio,1639040.0,0.1395,OH,179662.25,32357.375,0.18084445811841612,5075.625,887.75,0.17495798173748595
Missouri,778915.0,0.1263,MO,152835.375,18436.25,0.12092563849132948,2518.625,514.0,0.2065589731935622
Pennsylvania,1607610.0,0.1254,PA,180212.0,22499.75,0.12501633307372842,8460.875,1698.0,0.20073564977956518
Texas,3646880.0,0.1237,TX,818245.875,9224.5,0.011290158371001783,16868.5,1843.25,0.10929434829766324
