State,BlackTotal,BlackPerc,State_Code,Cases_Total,Cases_Black,Covid_BlackPerc,Deaths_Total,Deaths_Black,Death_BlackPerc
District of Columbia,331477.0,0.4599,DC,14739.888888888889,7544.333333333333,0.5119110196213597,617.6666666666666,460.0,0.7447410508460955
Mississippi,1147920.0,0.384,MS,91461.33333333333,36295.0,0.39703719568599954,2750.4444444444443,1276.7777777777778,0.46431796984310014
Louisiana,1553060.0,0.3343,LA,159811.44444444444,57900.444444444445,0.36237525897169426,5279.444444444444,2358.4444444444443,0.4468408868200173
Georgia,3378260.0,0.3147,GA,298557.0,76759.44444444444,0.25702094598099895,6450.444444444444,2687.3333333333335,0.4169765940427011
Maryland,1899670.0,0.3123,MD,117621.33333333333,37559.22222222222,0.319403254584532,3859.8888888888887,1578.0,0.40882305697023497
Alabama,1334890.0,0.2719,AL,141549.88888888888,32402.777777777777,0.2293331548955057,2387.4444444444443,893.6666666666666,0.37446078290421414
South Carolina,1401780.0,0.2691,SC,134541.88888888888,35661.77777777778,0.2652865438195924,3109.3333333333335,1090.3333333333333,0.3507620800273635
Delaware,226875.0,0.2308,DE,19139.11111111111,5065.555555555556,0.2646392257798947,619.6666666666666,159.55555555555554,0.2574943405879433
North Carolina,2331120.0,0.2197,NC,189782.22222222222,34783.77777777778,0.1832240800271457,3151.1111111111113,915.2222222222222,0.2905962819930199
Virginia,1766960.0,0.2048,VA,136271.77777777778,27126.666666666668,0.19902399980868035,2899.4444444444443,751.1111111111111,0.2589624710037511
New York,3368300.0,0.1733,NY,447074.55555555556,,,28657.777777777777,6443.777777777777,0.22485315937197786
Puerto Rico,523962.0,0.1728,PR,39918.22222222222,,,562.1111111111111,,
Tennessee,1188330.0,0.1723,TN,177423.55555555556,33021.444444444445,0.18635256283307358,2127.3333333333335,598.2222222222222,0.28217127652794205
Florida,3592350.0,0.1633,FL,672061.0,98590.11111111111,0.14669939697572026,13079.333333333334,2388.4444444444443,0.182714918625509
Arkansas,488364.0,0.1607,AR,72773.11111111111,15644.111111111111,0.21544041379614734,1098.6666666666667,228.0,0.21024163559030426
Illinois,1959970.0,0.1548,IL,269237.0,37678.666666666664,0.14021343048525503,8606.0,2190.3333333333335,0.25458279262426653
Michigan,1516350.0,0.151,MI,125783.88888888889,26619.777777777777,0.2121048415686863,6937.444444444444,2659.0,0.3833099327965692
New Jersey,1313610.0,0.147,NJ,198404.66666666666,20841.11111111111,0.10505302416917796,16047.444444444445,2842.1111111111113,0.1771070704679567
Ohio,1639040.0,0.1395,OH,140341.22222222222,29203.555555555555,0.2086025548640057,4508.444444444444,826.1111111111111,0.18333816287807722
Missouri,778915.0,0.1263,MO,107307.22222222222,12417.666666666666,0.11651122106192176,1804.4444444444443,488.1111111111111,0.2718468928967612
Pennsylvania,1607610.0,0.1254,PA,147258.55555555556,19627.666666666668,0.13335766295180357,7923.111111111111,1639.111111111111,0.20690198093311868
Texas,3646880.0,0.1237,TX,681356.2222222222,8343.0,0.012252792245906214,14439.666666666666,1637.3333333333333,0.11347350319104782
Connecticut,437087.0,0.1227,CT,55090.555555555555,7240.0,0.13145163616387834,4486.0,661.0,0.1473480042768329
Indiana,708540.0,0.105,IN,108107.0,10754.666666666666,0.0996837249886491,3471.5555555555557,439.55555555555554,0.12666607574323635
Nevada,309359.0,0.0985,NV,74760.44444444444,4602.0,0.06151718660741142,1483.888888888889,116.11111111111111,0.07815389757004179
Kentucky,413151.0,0.0918,KY,59204.555555555555,4765.222222222223,0.08058401029779859,1075.888888888889,126.77777777777777,0.11786087374055726
Oklahoma,358388.0,0.0906,OK,73310.22222222222,5179.111111111111,0.07058462923062225,924.3333333333334,57.666666666666664,0.062232595885104804
Massachusetts,627601.0,0.09,MA,126241.22222222222,12024.0,0.09526436286250628,9255.888888888889,754.0,0.08146607011639517
Rhode Island,86052.0,0.0815,RI,23331.777777777777,2174.8888888888887,0.09315254812561864,1081.2222222222222,54.44444444444444,0.05035466943537544
Kansas,214553.0,0.0737,KS,51075.333333333336,3694.1111111111113,0.07249161711007289,562.0,80.77777777777777,0.14504307304036185
Wisconsin,431044.0,0.0737,WI,102373.22222222222,10956.888888888889,0.10870093837552679,1235.3333333333333,231.44444444444446,0.18762125887671552
Minnesota,410895.0,0.0721,MN,87516.55555555556,16070.0,0.18431154856266946,1985.6666666666667,186.44444444444446,0.09392078308123333
California,2753570.0,0.0689,CA,764490.2222222222,22368.444444444445,0.029243058294703875,14580.777777777777,1102.6666666666667,0.07563306596839277
Nebraska,113007.0,0.0579,NE,39821.444444444445,2211.1111111111113,0.05579656781350473,438.77777777777777,31.22222222222222,0.07119230292231811
Arizona,390181.0,0.0529,AZ,210959.22222222222,6370.0,0.030191454795965928,5389.333333333333,168.55555555555554,0.03126792808641163
Washington,397656.0,0.051,WA,81255.55555555556,3318.5555555555557,0.040859627384401485,2024.5555555555557,66.44444444444444,0.032830993255197616
Colorado,291116.0,0.0498,CO,63530.77777777778,2836.8888888888887,0.04478318120713267,1903.7777777777778,120.88888888888889,0.06350874741033279
Alaska,36217.0,0.0493,AK,7461.777777777777,270.1111111111111,0.03590684785087128,45.888888888888886,0.6666666666666666,0.012874779541446208
